"","text","id","reply_settings","possibly_sensitive","created_at.x","lang","author_id","conversation_id","created_at.y","name","username","location","description","protected","url","profile_image_url","verified","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links"
"1","Mark of 6th mass extinction 
Is another type of algae bloom – Sargassum – coming to a beach near 
you?
The Gulf Coast of Florida is already dealing with two different algae blooms: a red tide on many beaches south of Manatee County and blue-green algae

 . https   www wmnf org another algae bloom sargassum beach near you. https   twitter com BagalueSunab status 1026149316971450368 photo 1","1026149316971450368","everyone",FALSE,2018-08-05 16:53:56,"en","727316106843574272","1026149316971450368","2016-05-03T01:57:27.000Z","Caribbean disaster","BagalueSunab","Jamaica- Trinidad &Tobago","We are a member of the coalition of small island and low-lying coastal countries that share similar development challenges and concerns",FALSE,NA,"https://pbs.twimg.com/profile_images/1159242812631785475/jNAJa5L4_normal.jpg",FALSE,0,0,0,0,0,4001,4991,321992,155,NA,"1258193342460035074",NA,"Mark of 6th mass extinction 
Is another type of algae bloom – Sargassum – coming to a beach near 
you?
The Gulf Coast of Florida is already dealing with two different algae blooms: a red tide on many beaches south of Manatee County and blue-green algae

https://t.co/emaDV14vjR https://t.co/Yrp2LWlaw2"
"2","They closed their business in Stuart due to the toxic blue green algae from Lake Okeechobee discharges on the East Coast. They found a new home in Manatee County. Two years later they’re dealing with a new algae, Red Tide, in the Gulf Coast. . http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide","1029525812775735296","everyone",FALSE,2018-08-15 00:30:56,"en","26076407","1029525812775735296","2009-03-23T19:59:21.000Z","Kiki","SJUA08","USA","Moderate. Country First. Democracy. No party affiliation. Engineer. UF alumni. Statehood supporter for Puerto Rico & the U.S. Virgin Islands. Surfing is Life.",FALSE,NA,"https://pbs.twimg.com/profile_images/1563861024297582592/niRlJA_O_normal.jpg",FALSE,0,0,0,0,0,1700,2265,61496,27,NA,"1586910860966072323",NA,"They closed their business in Stuart due to the toxic blue green algae from Lake Okeechobee discharges on the East Coast. They found a new home in Manatee County. Two years later they’re dealing with a new algae, Red Tide, in the Gulf Coast. https://t.co/5Qyl0glTu4"
"3","In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide","1029705496717078533","everyone",FALSE,2018-08-15 12:24:56,"en","2701863841","1029705496717078533","2014-08-02T22:02:05.000Z","VoteWater","VoteWaterFL","Florida, USA","Fighting political corruption in Florida by galvanizing public resolve to end the systemic pollution and mismanagement of our waterways.",FALSE,"https://t.co/KznHCq17zJ","https://pbs.twimg.com/profile_images/1261323378079735808/MGIjyXmc_normal.jpg",FALSE,5,1,5,1,0,1820,1059,4388,25,NA,NA,NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV"
"4","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's c…","1029705981205340160","everyone",FALSE,2018-08-15 12:26:51,"en","1134924498","1029705981205340160","2013-01-30T19:16:20.000Z","Kirkwoodjones","kirkwoodjones","florida","Lookin for Truths..",FALSE,NA,"https://pbs.twimg.com/profile_images/1141374119453372416/Du8_ee30_normal.jpg",FALSE,5,0,0,0,0,826,544,18356,12,NA,NA,NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV"
"5","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's c…","1029707046596354050","everyone",FALSE,2018-08-15 12:31:05,"en","734538021563830272","1029707046596354050","2016-05-23T00:14:46.000Z","😈 No War Propaganda 🤡","sittinginapark","Florida","anarchist, mental health advocate, mom to LGBTQ teen. Get Rep Brian Mast OUT of power.",FALSE,NA,"https://pbs.twimg.com/profile_images/1327726604055883786/kWHVB14c_normal.jpg",FALSE,5,0,0,0,0,1254,3507,29686,19,NA,NA,NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV"
"6","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's c…","1029732987875852288","everyone",FALSE,2018-08-15 14:14:10,"en","796417121190375424","1029732987875852288","2016-11-09T18:20:13.000Z","Sean Atkinson","sincerefeedbac_","Hollywood, FL","Live in Hollywood, no not that one. Dad, IT guy. Treehugger. Constant gardener. Socialist.",FALSE,NA,"https://pbs.twimg.com/profile_images/1104228239952748544/zYfeITTL_normal.jpg",FALSE,5,0,0,0,0,617,1069,24604,3,NA,NA,NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV"
"7","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's c…","1029797155970662400","everyone",FALSE,2018-08-15 18:29:09,"en","1437168828","1029797155970662400","2013-05-18T02:14:37.000Z","Catherine Angela Imbriano Hughes","CaHughes74","United States","HFA. Organizer IA, NY, FL, UN Env Delegate, MSW, Const.Caseworker,Vic Advocate, FM DJ, E.Hampton, Bklyn, AmeriCorps,LIU library, MHP, NYS AG Env Award",FALSE,NA,"https://pbs.twimg.com/profile_images/423203382967283712/KRXNsK3-_normal.jpeg",FALSE,5,0,0,0,0,872,4998,44492,23,NA,NA,NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV"
"8","RT @bullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closin…","1030461296507072512","everyone",FALSE,2018-08-17 14:28:12,"en","825179034376085504","1030461296507072512","2017-01-28T03:09:47.000Z","Laura","LauraLAbythesea","United States","",FALSE,NA,"https://pbs.twimg.com/profile_images/828373822218842112/Emqknhvx_normal.jpg",FALSE,5,0,0,0,0,2025,2369,158262,4,NA,"1127290745143087104",NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV"
"9","If you have been to a #beach in #Florida on the west coast, check to see if you have #cyanobacteria in your system.  @AndrewGillum it's bad.  People who visited that area are extremely sick in #Venice #LongboatKey #Bradenton  #Sarasota #Naples #CapeCoral @winknews #alert #airline . https   twitter com Ice_Phantom status 1042446788181942272 photo 1","1042446788181942272","everyone",FALSE,2018-09-19 16:14:16,"en","44904088","1042446788181942272","2009-06-05T14:32:23.000Z","Arenza Thigpen, Jr.","Ice_Phantom",NA,"Strive to the top: for the bottom is too far crowded. -Cemoe.",FALSE,NA,"https://pbs.twimg.com/profile_images/435563470755352577/8cWNEbdX_normal.jpeg",FALSE,0,0,2,0,0,598,723,8509,20,NA,NA,"7a863bb88e5bb33c","If you have been to a #beach in #Florida on the west coast, check to see if you have #cyanobacteria in your system.  @AndrewGillum it's bad.  People who visited that area are extremely sick in #Venice #LongboatKey #Bradenton  #Sarasota #Naples #CapeCoral @winknews #alert #airline https://t.co/FDpBQDRcfK"
"10","@calusawater @Karl_Deigert_RX @MyFWC Cyanobacteria is already showing up in Desoto and Manatee Counties. Residents have shared pictures, and taken samples. This will be known as one of the worst environmental disasters in the US. Only comparable to other massive industrial contamination events up North 50 years ago.. ","1102640257730777088","everyone",FALSE,2019-03-04 18:41:38,"en","1029700482955137024","1102349585425580032","2018-08-15T12:05:00.000Z","Luz Elena Bueno","LuzElenaBueno1","USA","",FALSE,NA,"https://pbs.twimg.com/profile_images/1203682499018276864/isJsgOan_normal.jpg",FALSE,0,0,0,0,0,24,126,247,0,"751811102175064065","1170345703786389511",NA,"@calusawater @Karl_Deigert_RX @MyFWC Cyanobacteria is already showing up in Desoto and Manatee Counties. Residents have shared pictures, and taken samples. This will be known as one of the worst environmental disasters in the US. Only comparable to other massive industrial contamination events up North 50 years ago."
