"","text","created_at.x","author_id","id","lang","possibly_sensitive","reply_settings","conversation_id","created_at.y","name","description","profile_image_url","verified","username","protected","location","pinned_tweet_id","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","The Florida Department of Health in Pasco County: ""issued a Health Alert for the presence of harmful blue-green algal toxins in Moody Lake. This is in response to a water sample taken on November 2, 2022. The public should exercise caution in and around Moody Lake."" @HealthyPasco. ",2022-11-07 19:32:46,"13058782","1589702418648162304","en",FALSE,"everyone","1589702418648162304","2008-02-04T18:22:04.000Z","Seán Kinane WMNF","WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him","https://pbs.twimg.com/profile_images/1519035778059358217/mUPjQqsF_normal.jpg",TRUE,"wmnfnews",FALSE,"Tampa, FL USA","1380000214661136388","https://t.co/bUWYk8x2JM",0,0,0,0,0,6627,2471,74218,358,"The Florida Department of Health in Pasco County: ""issued a Health Alert for the presence of harmful blue-green algal toxins in Moody Lake. This is in response to a water sample taken on November 2, 2022. The public should exercise caution in and around Moody Lake."" @HealthyPasco"
"2","Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. In some cases, coming in contact with the toxins can cause upper-respiratory issues and skin irritation.  . https   www fox13news com news blue green algae toxins found on moody lake in pasco county",2022-11-08 07:00:54,"15750898","1589875590961692679","en",FALSE,"everyone","1589875590961692679","2008-08-06T15:12:10.000Z","FOX 13 Tampa Bay","Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","https://pbs.twimg.com/profile_images/1459177564178681893/Y3jxK1Xd_normal.jpg",TRUE,"FOX13News",FALSE,"Tampa, FL","1598030799273660422","https://t.co/MUtKcxEsVq",0,0,2,0,0,377132,4626,258122,1874,"Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. In some cases, coming in contact with the toxins can cause upper-respiratory issues and skin irritation.  https://t.co/lbApnK8IDU"
"3","New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
. https   www tampabay com news pasco 2022 11 07 highly toxic algal bloom prompts health alert moody lake pasco county",2022-11-08 13:51:07,"1239172640","1589978828264288257","en",FALSE,"everyone","1589978828264288257","2013-03-03T15:29:18.000Z","Max Chesnes","Environment reporter @TB_Times. Past: @tcpenvironment💧 2022 @MetcalfURI Fellow. @UFJSchool alum. Drone pilot. #ReadLocal","https://pbs.twimg.com/profile_images/1565022647829893121/osNHuVp6_normal.jpg",TRUE,"MaxChesnes",FALSE,"St Petersburg, FL","1617929674562342920","https://t.co/XqBqJqqUrm",6,0,7,0,0,7720,2990,11457,127,"New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"4","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and anim…",2022-11-08 14:00:13,"18663641","1589981118992117760","en",FALSE,"everyone","1589981118992117760","2009-01-06T05:24:21.000Z","Jonathan Scott Webber","Florida Policy Director @SPLCenter (he/him)","https://pbs.twimg.com/profile_images/766718807230582784/lFga_hDQ_normal.jpg",FALSE,"jonwebber",FALSE,"Tallahassee, FL, USA","1529163210938634240","https://t.co/H1T5ADprnX",6,0,0,0,0,1700,3870,6653,28,"New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"5","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and anim…",2022-11-08 14:09:49,"33830217","1589983534114308098","en",FALSE,"everyone","1589983534114308098","2009-04-21T06:07:25.000Z","Roseann Wentworth 🇺🇸 🇺🇦","Marketing, Communications, PR, IR & Branding. vote! https://t.co/6SIYqnaPch: @rwentworth1 Mastodon: @rwentworth@awscommunity.social","https://pbs.twimg.com/profile_images/1573280695564357632/gzev2-P-_normal.jpg",FALSE,"rwentworth1",FALSE,"Fernandina Beach, FL",NA,"https://t.co/2PWvoOoZ5A",6,0,0,0,0,1260,3695,15799,22,"New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"6","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and anim…",2022-11-08 15:12:33,"884114729626550272","1589999319494660098","en",FALSE,"everyone","1589999319494660098","2017-07-09T18:19:12.000Z","Phosphoria","tweets about the 15th element, related things","https://pbs.twimg.com/profile_images/1366124552594612226/tfk7V0vo_normal.jpg",FALSE,"phosphoria31",FALSE,NA,NA,"https://t.co/BcG11xqEVb",6,0,0,0,0,3312,1385,13125,12,"New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"7","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and anim…",2022-11-08 18:44:29,"17468642","1590052656982429696","en",FALSE,"everyone","1590052656982429696","2008-11-18T19:17:54.000Z","Chris Tisch","Breaking News Editor at the Tampa Bay Times and https://t.co/pf5u5evtvO. Wisconsin native, Northwestern grad, dad to a precious boy. he/him","https://pbs.twimg.com/profile_images/810585428009086976/_n5Od9pe_normal.jpg",TRUE,"christisch1",FALSE,"St. Petersburg, FL",NA,NA,6,0,0,0,0,4158,4083,18926,151,"New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"8","Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. . https   www fox13news com news blue green algae toxins found on moody lake in pasco county",2022-11-08 23:18:56,"2920364152","1590121723210633216","en",FALSE,"everyone","1590121723210633216","2014-12-13T21:12:48.000Z","CyanoTRACKER","#Cyanobacteria #AlgaeBloom #CitSci A multi-platform based global cyanobacterial harmful algal blooms monitoring|For more info plz contact:cyanotracker@gmail.com","https://pbs.twimg.com/profile_images/552911205849763840/iN7KOL18_normal.jpeg",FALSE,"CyanoTracker",FALSE,"Athens, Georgia","962191170989383680","http://t.co/9RuxNuQUmI",2,0,4,0,0,2787,919,5473,64,"Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. https://t.co/eZAiSMhUzK"
"9","RT @CyanoTracker: Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins i…",2022-11-08 23:43:19,"884114729626550272","1590127861020909569","en",FALSE,"everyone","1590127861020909569","2017-07-09T18:19:12.000Z","Phosphoria","tweets about the 15th element, related things","https://pbs.twimg.com/profile_images/1366124552594612226/tfk7V0vo_normal.jpg",FALSE,"phosphoria31",FALSE,NA,NA,"https://t.co/BcG11xqEVb",2,0,0,0,0,3312,1385,13125,12,"Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. https://t.co/eZAiSMhUzK"
"10","Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard -  #GoogleAlerts. https   flipboard com topic cyanobacteria highly toxic algal bloom prompts health alert for moody lake in pasco county f c8f29ec92a 2Ftampabay com",2022-11-11 15:10:49,"534263140","1591086049136369664","en",FALSE,"everyone","1591086049136369664","2012-03-23T12:49:26.000Z","Florida Issues","","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",FALSE,"FloridaIssues",FALSE,NA,NA,NA,2,0,0,0,0,1024,11,135873,38,"Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #GoogleAlerts"
"11","RT @FloridaIssues: Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #Goog…",2022-11-12 08:29:11,"2414913756","1591347363343376385","en",FALSE,"everyone","1591347363343376385","2014-03-27T21:29:48.000Z","Le Chat Biden Democrat","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg",FALSE,"LeChatNoire4",FALSE,"Florida","1222268511134896129",NA,2,0,0,0,0,14256,13683,1102946,336,"Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #GoogleAlerts"
"12","RT @FloridaIssues: Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #Goog…",2022-11-12 13:36:48,"865200110","1591424776387842048","en",FALSE,"everyone","1591424776387842048","2012-10-06T19:39:14.000Z","Daniel Martin","","https://pbs.twimg.com/profile_images/2696259370/e064b62aa3651e6faf1935708f2957d7_normal.jpeg",FALSE,"marti431uew",FALSE,NA,NA,NA,2,0,0,0,0,1061,205,416432,172,"Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #GoogleAlerts"
