"","text","in_reply_to_user_id","id","reply_settings","possibly_sensitive","author_id","conversation_id","lang","created_at.x","username","name","verified","created_at.y","protected","location","profile_image_url","description","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"1","@ScottforFlorida @SenBillNelson Your record is washing up dead along the beaches from #Clearwater to #siestakey and down to #marcoisland.  Your record is aerosolized neurotoxins from k. Brevis causing respiratory distress and blue-green algae clogging our waterways . https   www newsweek com florida red tide latest update political heat iicreases scientists search 1065523","306389855","1027542555746029569","everyone",FALSE,"334954450","1027199830907658240","en",2018-08-09 13:10:10,"malthus500","Theo",FALSE,"2011-07-13T22:49:12.000Z",FALSE,"Washington, DC","https://pbs.twimg.com/profile_images/1385293072997748743/MtZLSw5q_normal.jpg","Immunologist, Musician, Traveler....in no particular order",NA,"932802375961718785",0,0,0,0,0,550,1294,7798,5,NA,"@ScottforFlorida @SenBillNelson Your record is washing up dead along the beaches from #Clearwater to #siestakey and down to #marcoisland.  Your record is aerosolized neurotoxins from k. Brevis causing respiratory distress and blue-green algae clogging our waterways https://t.co/PPIK4IqjYz"
"2","@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ","487297085","1027662175069003777","everyone",FALSE,"221396657","1027639515261952000","en",2018-08-09 21:05:30,"dereck72vapes","UltraMAGAdereck72",FALSE,"2010-11-30T15:17:32.000Z",FALSE,"sunny florida","https://pbs.twimg.com/profile_images/451155265593696256/7ymkTcKp_normal.jpeg","Twitter much better after Elon bought it",NA,"1594511084098289664",2,0,3,0,0,2488,2013,20905,46,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!"
"3","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other…",NA,"1027818703935692800","everyone",FALSE,"918733847579283456","1027818703935692800","en",2018-08-10 07:27:29,"MemeBurk","Meme Burk🌎🌊🇺🇸💙🇺🇦😷",FALSE,"2017-10-13T07:03:13.000Z",FALSE,"Texas, USA, World, Universe","https://pbs.twimg.com/profile_images/1370560869227192322/QRoSQpWR_normal.jpg","RetiredSci.Teacher;Progrsve;#BLM MEdCounseling;GreenPeace;#RESIST WildlifeHabitatCreator; #IAmAntifa #ClimateCrisisIsHere #ProtectLivingThings#BidenHarris",NA,NA,2,0,0,0,0,8473,8540,648294,29,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!"
"4","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other…",NA,"1027920164023611392","everyone",FALSE,"2796475822","1027920164023611392","en",2018-08-10 14:10:39,"downey1950_w","sydown",FALSE,"2014-09-30T21:30:11.000Z",FALSE,"New York, USA","https://pbs.twimg.com/profile_images/1001622425325522945/GLgGU0-j_normal.jpg","Retired.Gardener,reader,tv freak,swimmer,counselor,friend, #RESIST NO DMs PLEASE",NA,"1009747580023201792",2,0,0,0,0,2858,2951,224054,0,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!"
"5","@ScottforFlorida @scottforFlorida in Jacksonville today avoiding thousands of dead fish in Pinellas County #MondayMorning #FLWaterCrisis #makethegulfgreatagain #VoteCleanWater #BlueGreenAlgae #LakeOkeechobee #SendTheWaterSouth #stopthebloom #deathtide #stoplakeopollution #stopharmfuldischargesact. ","306389855","1039156320040087552","everyone",FALSE,"101929521","1039131731180380161","en",2018-09-10 14:19:07,"Bakernl","Thalassophile",FALSE,"2010-01-05T02:21:03.000Z",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1026627019960983552/y3nQnXYa_normal.jpg","Semi-retired former exec assistant now enjoying life. Promoter of positive actions to protect our precious natural environment and all the creatures within it.",NA,NA,0,0,0,0,0,31,261,1213,3,NA,"@ScottforFlorida @scottforFlorida in Jacksonville today avoiding thousands of dead fish in Pinellas County #MondayMorning #FLWaterCrisis #makethegulfgreatagain #VoteCleanWater #BlueGreenAlgae #LakeOkeechobee #SendTheWaterSouth #stopthebloom #deathtide #stoplakeopollution #stopharmfuldischargesact"
"6","#RedTide is strong and toxins fill the air. #Sarasota county is still also very much affected. The stench now spreads from Naples to Clearwater. Staying 1 mile away from water is not easy on the coast, people are sick and #cdc is clueless. #Florida #algae . http   www winknews com 2018 09 24 doctors warn of potential airborne toxins from blue green algae red tide",NA,"1044754327183806465","everyone",FALSE,"1000908886357004288","1044754327183806465","en",2018-09-26 01:03:36,"MatZagataMD","DoctorZ",FALSE,"2018-05-28T01:17:29.000Z",FALSE,NA,"https://pbs.twimg.com/profile_images/1405991040293670915/toHH0_2M_normal.jpg","Family Doc, musician, co-founder of Solar Boat LLC. Interested in Tesla, Geopolitics, History, and Medicine. 🇺🇸 🇵🇱 My opinions are my own.",NA,NA,0,0,0,0,0,174,526,687,3,NA,"#RedTide is strong and toxins fill the air. #Sarasota county is still also very much affected. The stench now spreads from Naples to Clearwater. Staying 1 mile away from water is not easy on the coast, people are sick and #cdc is clueless. #Florida #algae https://t.co/nKpwd7kk4n"
"7","The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

. https   www baynews9 com fl tampa news 2019 05 26 gumbo blue green algae discovered in manatee pinellas counties",NA,"1132708735594434560","everyone",FALSE,"17308428","1132708735594434560","en",2019-05-26 18:03:01,"BN9","Spectrum Bay News 9",TRUE,"2008-11-11T12:03:53.000Z",FALSE,"Tampa Bay area","https://pbs.twimg.com/profile_images/912176447036502017/BBeoQTuF_normal.jpg","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.","http://t.co/j3OZJEwDmE",NA,5,0,1,2,0,384435,443,144237,1747,NA,"The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN"
"8","RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the…",NA,"1132709954090164226","everyone",FALSE,"796547322452787204","1132709954090164226","en",2019-05-26 18:07:52,"darbyfamilySH","🇮🇪DARBY🇺🇸",FALSE,"2016-11-10T02:57:35.000Z",FALSE,"🌎","https://pbs.twimg.com/profile_images/891085612270456832/sXTKpZPa_normal.jpg","💙 ☘️ 🧚‍♀️ 
 Love our 🌎
 Love my Family
NO DM'S PLEASE",NA,NA,5,0,0,0,0,337,985,24275,0,NA,"The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN"
"9","RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the…",NA,"1132772551451709441","everyone",FALSE,"763537721684070402","1132772551451709441","en",2019-05-26 22:16:36,"ejd922again","LizD",FALSE,"2016-08-11T00:49:13.000Z",FALSE,"Mobile,al","https://pbs.twimg.com/profile_images/869609281783566338/8Po-Ujan_normal.jpg","",NA,NA,5,0,0,0,0,501,636,79406,1,NA,"The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN"
"10","RT @BN9: The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the…",NA,"1132823040155422721","everyone",FALSE,"274642013","1132823040155422721","en",2019-05-27 01:37:14,"PuggieSue","Suzanne Ryan",FALSE,"2011-03-30T18:00:18.000Z",FALSE,"Florida","https://pbs.twimg.com/profile_images/500471800502165505/lEtsXEE__normal.jpeg","",NA,NA,5,0,0,0,0,337,246,174922,2,NA,"The Florida Department of Environmental Protection was out at Tierra Verde in Pinellas County on Thursday and determined that the algae is a type of cyanobacteria called lyngbya, reports @angie_angers

https://t.co/HvOEpmwRuN"
