"","text","lang","possibly_sensitive","author_id","reply_settings","created_at.x","conversation_id","id","in_reply_to_user_id","profile_image_url","verified","location","url","protected","username","description","created_at.y","name","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"1","Tampa News Florida declares a state of emergency as toxic green algae spreads across waterways and smelly seaweed washes up ... - Daily Mail  . https   news google com home. https   twitter com Tampa_NC status 1016996290876489729 photo 1","en",FALSE,"213895894","everyone",2018-07-11 10:43:05,"1016996290876489729","1016996290876489729",NA,"https://pbs.twimg.com/profile_images/664565240718225408/R8vvlI4y_normal.jpg",FALSE,"Tampa, FL","http://t.co/D4cEUWUxVe",FALSE,"Tampa_NC","Updated Tampa news,sports,
weather,entertainment,politics
and business information.","2010-11-10T01:45:00.000Z","Tampa NewsChannel",NA,0,0,0,0,0,383,42,47588,17,NA,"Tampa News Florida declares a state of emergency as toxic green algae spreads across waterways and smelly seaweed washes up ... - Daily Mail https://t.co/e0qo6fzJw7 https://t.co/v6wembMibV"
"2","@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗. ","en",FALSE,"2414913756","everyone",2018-08-04 00:55:11,"1025503384420462597","1025545650224680961","988060225","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg",FALSE,"Florida",NA,FALSE,"LeChatNoire4","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","2014-03-27T21:29:48.000Z","Le Chat Biden Democrat","1222268511134896129",0,0,0,0,0,14256,13683,1102946,336,NA,"@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗"
"3","While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470","en",FALSE,"62575859","everyone",2018-08-07 13:01:13,"1026815526457290752","1026815526457290752",NA,"https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg",FALSE,"St. Petersburg FL","https://t.co/Y1kqEYKFCg",FALSE,"craigtimes","THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.","2009-08-03T17:55:56.000Z","Craig Pittman","1437092398249689093",28,2,15,4,0,20627,2285,180255,859,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
"4","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been…","en",FALSE,"18722223","everyone",2018-08-07 13:01:59,"1026815720380919808","1026815720380919808",NA,"https://pbs.twimg.com/profile_images/1578738318635835393/NTGKiMcb_normal.jpg",FALSE,"Sunshine City, Sunshine State",NA,FALSE,"tessthefirst","#ChampaBay Proud Mom of #classof2020 grad, now @Eckerd #classof2024, Golden Retriever Bailey 🐾 Run🏃‍♀️Yogi🧘‍♀️Law ⚖️ Sourcing Contracts @Amgen Rays⚾️","2009-01-07T14:18:01.000Z","TesstheFirst 🇺🇸⚖️ 🦮🐾🧜‍♀️🏖🏄‍♀️ ⚾️💙⚡️",NA,28,0,0,0,0,1456,4980,42038,73,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
"5","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been…","en",FALSE,"150544798","everyone",2018-08-07 13:02:25,"1026815828803629056","1026815828803629056",NA,"https://pbs.twimg.com/profile_images/1378829379942416386/63itEUrA_normal.jpg",FALSE,"Washington, D.C.","https://t.co/rZcNWcTrlT",FALSE,"JoshuaKarp","Dad! Partner @HoneStrategies, communications + strategy consultant. Progressive. Jew. #FlippedtheSenate with @Ossoff, alum of too many campaigns.","2010-06-01T05:50:39.000Z","Joshua Karp",NA,28,0,0,0,0,10257,7237,23881,133,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
"6","@craigtimes @taveljimena Please —how can we stop this from spreading?  Lake O discharges are destroying our water flora and fauna","en",FALSE,"18722223","everyone",2018-08-07 13:02:53,"1026815526457290752","1026815944826544129","62575859","https://pbs.twimg.com/profile_images/1578738318635835393/NTGKiMcb_normal.jpg",FALSE,"Sunshine City, Sunshine State",NA,FALSE,"tessthefirst","#ChampaBay Proud Mom of #classof2020 grad, now @Eckerd #classof2024, Golden Retriever Bailey 🐾 Run🏃‍♀️Yogi🧘‍♀️Law ⚖️ Sourcing Contracts @Amgen Rays⚾️","2009-01-07T14:18:01.000Z","TesstheFirst 🇺🇸⚖️ 🦮🐾🧜‍♀️🏖🏄‍♀️ ⚾️💙⚡️",NA,0,0,1,0,0,1456,4980,42038,73,"dc62519fda13b4ec",NA
"7","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been…","en",FALSE,"14804672","everyone",2018-08-07 13:04:34,"1026816368585461760","1026816368585461760",NA,"https://pbs.twimg.com/profile_images/1620291182193479682/wyquqHfV_normal.jpg",FALSE,"Washington D.C",NA,FALSE,"DivaKnevil","Vegan 🌱 Gin-Soaked Secular Humanist. An Ex-Pat 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Curmudgeon With A Penchant 4 Tourette's Text Who Is Quite Happy 2 Be An Equal Opportunity Loather","2008-05-16T21:57:23.000Z","DivaKnevil Ⓥ 🏴󠁧󠁢󠁳󠁣󠁴󠁿 💚","1350493797818490899",28,0,0,0,0,2728,4923,412538,149,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
"8","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been…","en",FALSE,"804839449477709824","everyone",2018-08-07 13:04:38,"1026816386931273728","1026816386931273728",NA,"https://pbs.twimg.com/profile_images/1498465553878589443/OWS6u73Y_normal.jpg",FALSE,"United States",NA,FALSE,"DropoutCharm","5th generation Floridian. Art, animals, books, plants & snark are a few of my favorite things. Cat waitress. #resist 🌊 #masks. No lists please. #RemoveRon","2016-12-03T00:07:32.000Z","CharmSchoolDropout",NA,28,0,0,0,0,1122,2193,29488,4,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
"9","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been…","en",FALSE,"15518828","everyone",2018-08-07 13:14:47,"1026818941296041984","1026818941296041984",NA,"https://pbs.twimg.com/profile_images/744440755456966656/bid9_O7Z_normal.jpg",TRUE,"St. Petersburg, Fla.","https://t.co/nqGE2gcEFd",FALSE,"SharonKWn","Sharon Kennedy Wynne, entertainment & events writer, editor at the Tampa Bay Times @TB_Times. Mom, foodie, news junkie & fan of rollercoasters and theme parks","2008-07-21T18:36:22.000Z","Sharon Kennedy Wynne",NA,28,0,0,0,0,2889,1296,15432,84,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
"10","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been…","en",FALSE,"239529147","everyone",2018-08-07 13:16:12,"1026819297245581313","1026819297245581313",NA,"https://pbs.twimg.com/profile_images/1328828999947202560/vc9Zv63O_normal.jpg",TRUE,"Orlando",NA,FALSE,"GabrielleRusson","Former Orlando Sentinel theme parks biz reporter turned freelance writer. Proud but pudgy 25X marathoner. Boomer's mommy. Sparty on!","2011-01-17T20:53:43.000Z","Gabrielle Russon",NA,28,0,0,0,0,5490,5586,18987,193,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena"
