"","text","reply_settings","id","possibly_sensitive","in_reply_to_user_id","lang","conversation_id","author_id","created_at.x","description","protected","profile_image_url","name","verified","location","username","created_at.y","pinned_tweet_id","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count"
"1","If the red tide is high and it’s just @SethKush and baby Gertrude, ya handle it like Larry David did in I believe season 7 of curb @DrewOnTheRadio @TheSoulbrother @TheJohnSenning","everyone","976538129577496577",FALSE,NA,"en","976538129577496577","1055539482",2018-03-21 19:16:47,"I’m a shark, I love baseball. 13 years sober from alcohol, I have Addison’s disease and I’m a medical marijuana patient. #RecoveryPosse",FALSE,"https://pbs.twimg.com/profile_images/1191888511001153539/Q-hdJXyw_normal.jpg","MarkTheShark",FALSE,"In Recovery","MarkShark420","2013-01-02T16:44:25.000Z","1008171908192448513",NA,0,0,1,0,0,"61eefa163263bef0",976,1042,113520,59
"2","@HeyTammyBruce Tammy glad to hear you on Tucker, unbelievable how these left wing loons get away with it . I hope &amp; pray this transforms into a Red tide in November. Thank you again for input.","everyone","1002348668492632070",FALSE,"22956220","en","1002348668492632070","495463903",2018-06-01 00:38:39,"",FALSE,"https://pbs.twimg.com/profile_images/996863534322606081/3ohg_s1x_normal.jpg","Walter Murray",FALSE,"Clearwater, FL","WPM358","2012-02-18T00:29:05.000Z",NA,NA,0,0,0,0,0,"700eeb799fa55a4b",29,19,3056,2
"3","Red tide alert https://t.co/Ios5yh6Z4v","everyone","1007085716374020098",FALSE,NA,"no","1007085716374020098","427928463",2018-06-14 02:22:00,"🌺Majored in biology, workin, have a degree in Design, DM me if interested in any design or art I put out, I can make anything custom to your needs📿🕯🦋🌷",FALSE,"https://pbs.twimg.com/profile_images/1299489665326743556/-dWVjWGW_normal.jpg","Angie Dillman",FALSE,"Palm Harbor, FL","angiedillman22","2011-12-04T04:16:14.000Z","1484937206443966465",NA,0,0,0,0,0,"c5a8a3c8523b835e",38,89,1131,0
"4","It’s apparent how far it has spread.....During my morning run I can see all the ALGAE all along ClearWater Shoreline......It’s terrible......","everyone","1021771148915367939",FALSE,"6213972","en","1021769371604144128","6213972",2018-07-24 14:56:40,"Visual Merchandiser/Personal Stylist, Photographer ,Traveler & a Big Foodie ! Loving life & my NY METS ! Live..Laugh...💞🙏🏻",FALSE,"https://pbs.twimg.com/profile_images/1015771950969511936/67w0d8Mj_normal.jpg","Metsfan79",FALSE,"Clearwater beach, Florida","lisafeli","2007-05-22T00:56:49.000Z",NA,NA,0,0,0,0,0,"700eeb799fa55a4b",169,120,5660,2
"5","@FLGovScott wants to make Florida the #1 state for job creation, but yet the waters that bring millions of tourists and therefore workers, are more polluted each day. We can do better. #RedTide","everyone","1023567757537947648",FALSE,"131546062","en","1023567757537947648","55030469",2018-07-29 13:55:45,"He/ Him. Tweets are not a reflection of my employer. #610 #727",FALSE,"https://pbs.twimg.com/profile_images/1547021795693305861/w-3dDMbX_normal.jpg","Corey",FALSE,"Tampa, FL","CG71791","2009-07-08T21:11:46.000Z",NA,NA,0,0,0,0,0,"e54569d90c7032c0",317,330,15963,1
"6","These photos coming out of Southwest Florida are horrific. The green slime and red tide spreading from Lake O to Naples is killing sharks, dolphins, manatees  and hundreds of fish https://t.co/vpn8An7NHr","everyone","1024473161570631680",FALSE,NA,"en","1024473161570631680","15518828",2018-08-01 01:53:30,"Sharon Kennedy Wynne, entertainment & events writer, editor at the Tampa Bay Times @TB_Times. Mom, foodie, news junkie & fan of rollercoasters and theme parks",FALSE,"https://pbs.twimg.com/profile_images/744440755456966656/bid9_O7Z_normal.jpg","Sharon Kennedy Wynne",TRUE,"St. Petersburg, Fla.","SharonKWn","2008-07-21T18:36:22.000Z",NA,"https://t.co/nqGE2gcEFd",15,0,11,0,0,"26b27cadf61e2e58",2889,1296,15433,84
"7","This is so heartbreaking to see along out #Florida Coast! #welivehere. #redtide. https://t.co/nlBoYvYXAW","everyone","1025554150464077826",FALSE,NA,"en","1025554150464077826","1531785438",2018-08-04 01:28:58,"Travel 🛫 Photography 📸 Diving 🤿Boy Mom 💙 | Views are my own & retweets are not endorsements. 👍",FALSE,"https://pbs.twimg.com/profile_images/1440462416978972685/UVef302G_normal.jpg","Kristen 🇺🇸",FALSE,"Clearwater, FL","KristenTurzak","2013-06-19T19:42:48.000Z","1403302257970515969",NA,0,0,1,0,0,"ab944f41faea7e2f",817,1757,30111,71
"8","Cheers to a perfect beach day 🍻🏖🐬⛵️.....so thankful that the Red Tide is not at Clearwater Beach🌊🌞 @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis https://t.co/sBcAxISiQp","everyone","1025872133170319362",FALSE,NA,"en","1025872133170319362","2564475435",2018-08-04 22:32:30,"",FALSE,"https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg","ilovethebeach",FALSE,"Clearwater Beach, Florida","deenibikini","2014-05-26T01:55:31.000Z",NA,NA,5,2,50,0,0,"700eeb799fa55a4b",310,220,1158,5
"9","@deenibikini @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis I love that beach! 💕","everyone","1025922238808248320",FALSE,"2564475435","en","1025872133170319362","786306083966951424",2018-08-05 01:51:37,"Tree-hugger, digital marketer, fitness freak. Love beaches, sunsets, puppies, snakes & ice cold beer.",FALSE,"https://pbs.twimg.com/profile_images/1574809994624647169/dIgUKJPg_normal.jpg","Mike Poynton",FALSE,"Costa Rica","MikePoynton","2016-10-12T20:42:34.000Z",NA,NA,0,1,1,0,0,"01a1a2cf47d90e95",1527,890,13655,39
"10","@MikePoynton @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Me too😊 2 yrs ago we moved just over the Bridge so that we can be there in less than 10 minutes for a beach day or Sunsets🌅 👍🏼....loving the Beach life!🏖🌴🌊","everyone","1025925827656118272",FALSE,"786306083966951424","en","1025872133170319362","2564475435",2018-08-05 02:05:52,"",FALSE,"https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg","ilovethebeach",FALSE,"Clearwater Beach, Florida","deenibikini","2014-05-26T01:55:31.000Z",NA,NA,0,0,1,0,0,NA,310,220,1158,5
