"","text","lang","possibly_sensitive","id","created_at.x","conversation_id","author_id","reply_settings","in_reply_to_user_id","created_at.y","username","name","url","profile_image_url","protected","pinned_tweet_id","verified","description","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"1","Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. . http   www bradenton com news local article199902604 html","en",FALSE,"963552805696008196",2018-02-13 23:17:45,"963552805696008196","906152580","everyone",NA,"2012-10-26T14:54:09.000Z","mannahhorse","Hannah Morse 🌅","https://t.co/lqYfkGMqDH","https://pbs.twimg.com/profile_images/1402263891594317826/NzFiwvcZ_normal.jpg",FALSE,NA,TRUE,"Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi 👋: hmorse@pbpost.com","West Palm Beach, FL",1,0,0,0,0,2189,1821,10448,76,NA,"Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. https://t.co/LOyO5gUU9z"
"2","RT @mannahhorse: Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and co…","en",FALSE,"963605887385571328",2018-02-14 02:48:41,"963605887385571328","349049976","everyone",NA,"2011-08-05T13:16:34.000Z","MRMasferrer","Marc R. Masferrer",NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg",FALSE,NA,TRUE,"","Bradenton, Fla.",1,0,0,0,0,3163,1917,76762,119,NA,"Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. https://t.co/LOyO5gUU9z"
"3","Wastewater spills into Manatee River 
Full details here:  . https   www mysuncoast com news wastewater spills into manatee river article_9153b68a 65d0 11e8 812b 97f1249239d3 html. https   twitter com mysuncoast status 1002631837854978048 photo 1","en",FALSE,"1002631837854978048",2018-06-01 19:23:52,"1002631837854978048","9581122","everyone",NA,"2007-10-21T15:57:27.000Z","mysuncoast","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg",FALSE,NA,TRUE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","Sarasota, Florida",1,1,0,0,0,67055,855,89769,690,NA,"Wastewater spills into Manatee River 
Full details here: https://t.co/DdFCOxAqW9 https://t.co/2D8PJJCorB"
"4","@mysuncoast Sarasota county calls that a Tuesday.","en",FALSE,"1002632931167428609",2018-06-01 19:28:13,"1002631837854978048","128643464","everyone","9581122","2010-04-01T19:09:30.000Z","FLKeysBeachBum","Beach Bum","https://t.co/U3klN71mM6","https://pbs.twimg.com/profile_images/1369049552/BeachSiesta003026415_570_normal.jpg",FALSE,NA,FALSE,"Relaxed in the sun, low as possible","Siesta Key, FL",0,0,0,0,0,494,377,220174,18,NA,NA
"5","#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast. ","en",FALSE,"1082934159591510016",2019-01-09 09:36:38,"1082934159591510016","3105087901","everyone",NA,"2015-03-23T15:59:22.000Z","JessDoudrick","Jessica Smylie","https://t.co/VVBfSzAeLW","https://pbs.twimg.com/profile_images/1062406118822080512/IFOf0OaE_normal.jpg",FALSE,NA,TRUE,"Comm Director @american_heart covering NE Ohio. Retired anchor/reporter for @mysuncoast in #Sarasota & @jet24fox66 in #Erie. York, PA native. @eagles fan.","Cleveland, OH",3,0,1,0,0,1217,703,6761,27,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast"
"6","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares…","en",FALSE,"1082934909356912646",2019-01-09 09:39:37,"1082934909356912646","14769495","everyone",NA,"2008-05-14T05:13:30.000Z","KEBrightbill","Kathryn Brightbill 🖋️ (Parody?)",NA,"https://pbs.twimg.com/profile_images/1538080167272230913/InfhMtw0_normal.png",FALSE,"1604545367911055360",FALSE,"Sometimes writer | Precinct Committeeperson @DemocratManatee | #GatorNation 🐊 | Pronouns: Any, just be respectful🌈 | Opinions mine |

#GoBolts #GoBucs #RaysUp","Florida, USA",3,0,0,0,0,10881,3633,333787,165,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast"
"7","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares…","en",FALSE,"1082937280715730945",2019-01-09 09:49:02,"1082937280715730945","9581122","everyone",NA,"2007-10-21T15:57:27.000Z","mysuncoast","ABC7 Sarasota","http://t.co/nQUeAxZ5Ke","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg",FALSE,NA,TRUE,"ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","Sarasota, Florida",3,0,0,0,0,67055,855,89769,690,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast"
"8","On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed.. ","en",FALSE,"1100094628311810048",2019-02-25 18:06:12,"1100094628311810048","21992035","everyone",NA,"2009-02-26T08:55:50.000Z","ReadCarlos","Carlos R. Munoz 📰","https://t.co/XWTXNo6tNp","https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg",FALSE,NA,TRUE,"Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social","⚓ Cumberland, RI ",1,0,1,0,0,3375,1856,40379,97,NA,"On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed."
"9","More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay","en",FALSE,"1270443308267925505",2020-06-09 19:51:03,"1270443308267925505","17544442","everyone",NA,"2008-11-21T20:07:08.000Z","wusf","WUSF","https://t.co/KBo4cZ3VYG","https://pbs.twimg.com/profile_images/882569215559028736/RMkZ8wkh_normal.jpg",FALSE,NA,TRUE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","Tampa, FL",3,0,1,0,0,14648,2305,37921,483,NA,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"10","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.…","en",FALSE,"1270444127105187840",2020-06-09 19:54:18,"1270444127105187840","730963068","everyone",NA,"2012-08-01T16:09:25.000Z","wusfschreiner","Mark Schreiner",NA,"https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg",FALSE,NA,TRUE,"Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.","Palm Harbor, FL",3,0,0,0,0,1586,2869,20505,57,NA,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"11","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.…","en",FALSE,"1270475443649556480",2020-06-09 21:58:44,"1270475443649556480","981045752","everyone",NA,"2012-11-30T19:09:50.000Z","Steph_Colombini","Stephanie Colombini",NA,"https://pbs.twimg.com/profile_images/808689431448350721/T9t_vHr__normal.jpg",FALSE,NA,FALSE,"Health reporter for WUSF Public Media, Tampa Bay’s NPR station. Still a New Yorker. Live for live music! She/her","New York, USA",3,0,0,0,0,671,809,4218,19,NA,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
"12","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.…","en",FALSE,"1270490063923818502",2020-06-09 22:56:50,"1270490063923818502","853887504","everyone",NA,"2012-09-30T01:22:48.000Z","JMMeszaros","Jessica Meszaros","https://t.co/8jklgDElo5","https://pbs.twimg.com/profile_images/1346968771748114434/SuJXG2gN_normal.jpg",FALSE,"1523438730370973697",TRUE,"All Things Considered host and sustainability reporter for @WUSF, @NPR for the Tampa Bay area. (she/her) Retweets are not endorsements.","Tampa, FL",3,0,0,0,0,1004,1412,2810,54,NA,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR"
