"","text","lang","author_id","possibly_sensitive","in_reply_to_user_id","reply_settings","conversation_id","id","created_at.x","protected","profile_image_url","verified","username","created_at.y","description","location","url","name","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","“About 200 gallons of hydraulic oil was spilled. The leak was traced to the International Paper mill in Springfield.”
 why we must #Divest                                 Take Action: 

#StopLine3 #NoKM #NoKXL #NoDapl # #DivestStPete. https   www change org p st petersburg city council removing public funds from socially irresponsible commercial banking institutions. http   klcc org post oil spill prompts warning avoid miles long stretch mckenzie river","en","765781379418292224",FALSE,NA,"everyone","974768436042715136","974768436042715136",2018-03-16 22:04:40,FALSE,"https://pbs.twimg.com/profile_images/773487001622437889/kmw3h0r0_normal.jpg",FALSE,"greenpeace_dtsp","2016-08-17T05:24:43.000Z","","Florida, USA",NA,"Greenpeace St. Pete",NA,3,0,1,0,0,25,54,108,2,"“About 200 gallons of hydraulic oil was spilled. The leak was traced to the International Paper mill in Springfield.”
 why we must #Divest                                 Take Action: https://t.co/yxLx8mBEDv
https://t.co/xDj2S14P0Z
#StopLine3 #NoKM #NoKXL #NoDapl # #DivestStPete"
"2","RT @greenpeace_dtsp: “About 200 gallons of hydraulic oil was spilled. The leak was traced to the International Paper mill in Springfield.”…","en","906874369019748357",FALSE,NA,"everyone","977349892984029184","977349892984029184",2018-03-24 01:02:27,FALSE,"https://pbs.twimg.com/profile_images/981518522139385857/wm8w3six_normal.jpg",FALSE,"Lozan72","2017-09-10T13:37:53.000Z","Author, poet, interpreter, peacekeeper, climate activist & mother. Life is too short to behave & blend in with the crowd. Make a statement & do good حرية المرأة","Vancouver, British Columbia","https://t.co/BnqigrYNnV","Lozan",NA,3,0,0,0,0,255,194,9700,4,"“About 200 gallons of hydraulic oil was spilled. The leak was traced to the International Paper mill in Springfield.”
 why we must #Divest                                 Take Action: https://t.co/yxLx8mBEDv
https://t.co/xDj2S14P0Z
#StopLine3 #NoKM #NoKXL #NoDapl # #DivestStPete"
"3","#OIL—Damn #Gazprom, building a superfluous $20 bln refinery near St. Petersburg. Don't #Russia|ns know that it's best to pipe raw bitumen across mountains, spill a 1/3 enroute and a 1/3 in the ocean, then tanker it to China. Let them deal with it. No fuss, right #KinderMorgan?. ","en","381214787",FALSE,NA,"everyone","988322245310230530","988322245310230530",2018-04-23 07:42:40,FALSE,"https://pbs.twimg.com/profile_images/1505304313991766028/Jeh7LkMG_normal.jpg",FALSE,"gbazov","2011-09-27T23:11:26.000Z","#Slavyangrad Twitter / @NuestraIraSLG #Slavyangrad Telegram / https://t.co/S78v25WM75 #Slavyangrad Website / https://t.co/qrmJNmuj0g / https://t.co/MWs0akug2Q","Toronto, Ontario","https://t.co/qrmJNmuj0g","Gleb Bazov","1504525945121783814",0,1,0,0,0,38571,11714,91965,564,"#OIL—Damn #Gazprom, building a superfluous $20 bln refinery near St. Petersburg. Don't #Russia|ns know that it's best to pipe raw bitumen across mountains, spill a 1/3 enroute and a 1/3 in the ocean, then tanker it to China. Let them deal with it. No fuss, right #KinderMorgan?"
"4","#OIL—We better get all our tar sands sludge out of Alberta, I guess, as soon as possible. What with even the HSBC committing to cease financing oil sands developments, along with coal burning and other advanced manufacturing processes (well except in Asia, cause just... cause).","en","381214787",FALSE,"381214787","everyone","988322245310230530","988323446282076161",2018-04-23 07:47:26,FALSE,"https://pbs.twimg.com/profile_images/1505304313991766028/Jeh7LkMG_normal.jpg",FALSE,"gbazov","2011-09-27T23:11:26.000Z","#Slavyangrad Twitter / @NuestraIraSLG #Slavyangrad Telegram / https://t.co/S78v25WM75 #Slavyangrad Website / https://t.co/qrmJNmuj0g / https://t.co/MWs0akug2Q","Toronto, Ontario","https://t.co/qrmJNmuj0g","Gleb Bazov","1504525945121783814",0,1,0,0,0,38572,11715,91965,564,NA
"5","@gbazov I really do love some sarcasm with my coffee. LOL You are so right...","en","711949028649340928",FALSE,"381214787","everyone","988322245310230530","988382731032760320",2018-04-23 11:43:00,FALSE,"https://pbs.twimg.com/profile_images/864042376314183680/yze37ahw_normal.jpg",FALSE,"globalizeddem","2016-03-21T16:14:10.000Z","""Every great dream begins with a dreamer.""",NA,NA,"Global Village",NA,0,0,1,0,0,126,286,1378,3,NA
"6","A group of scientists from states bordering the #Gulf of Mexico met in St. Petersburg Wednesday to figure out ways to deal with #health problems coming from red tide and #oil spills in the Gulf. . https   wusfnews wusf usf edu post twitter may be used track lingering health problems gulf mexico","en","30710984",FALSE,NA,"everyone","1111314685528293376","1111314685528293376",2019-03-28 17:10:42,FALSE,"https://pbs.twimg.com/profile_images/1575703602030575624/8JJOGC7W_normal.jpg",FALSE,"QueegRides","2009-04-12T20:05:42.000Z","The Mighty Queeg has polished his balls and is ready for battle.","Mississippi River, LA",NA,"Queeg Rides Again",NA,0,0,0,0,0,1945,3098,58463,210,"A group of scientists from states bordering the #Gulf of Mexico met in St. Petersburg Wednesday to figure out ways to deal with #health problems coming from red tide and #oil spills in the Gulf. https://t.co/UVlqSOEBMT"
"7","A group of scientists from states bordering the Gulf of Mexico met in St. Petersburg Wednesday to figure out ways to deal with health problems coming from red tide and oil spills in the Gulf.  . https   www wlrn org 2019 03 27 twitter may be used to track lingering health problems in the gulf of mexico. https   twitter com NPScorp_UK status 1111646293905063936 photo 1","en","339601918",FALSE,NA,"everyone","1111646293905063936","1111646293905063936",2019-03-29 15:08:24,FALSE,"https://pbs.twimg.com/profile_images/1357708483672571904/dlocYIO7_normal.jpg",FALSE,"FyterTech_UK","2011-07-21T10:58:31.000Z","Our #OilSpill products are essential for organisations across various markets, including #marine, #aerospace, #FoodManufacture & #transport. 
#SpillControl","Oldham, England","https://t.co/H1SZ6OzK07","LiquidSafetySolutions","1481200803973107719",1,0,0,0,0,864,852,5325,6,"A group of scientists from states bordering the Gulf of Mexico met in St. Petersburg Wednesday to figure out ways to deal with health problems coming from red tide and oil spills in the Gulf. https://t.co/tSVKYxAlD2 https://t.co/M7RkpN96hU"
"8","RT @NPScorp_UK: A group of scientists from states bordering the Gulf of Mexico met in St. Petersburg Wednesday to figure out ways to deal w…","en","2803913821",FALSE,NA,"everyone","1111648202493751297","1111648202493751297",2019-03-29 15:15:59,FALSE,"https://pbs.twimg.com/profile_images/588232081358123008/pn00dX_E_normal.jpg",FALSE,"GeoffWimble1","2014-09-11T15:34:46.000Z","Former Canterbury  Councillor","England, United Kingdom",NA,"Geoff Wimble",NA,1,0,0,0,0,3545,4240,41457,21,"A group of scientists from states bordering the Gulf of Mexico met in St. Petersburg Wednesday to figure out ways to deal with health problems coming from red tide and oil spills in the Gulf. https://t.co/tSVKYxAlD2 https://t.co/M7RkpN96hU"
"9","Join researchers and responders as they discuss how science guides oil spill response on April 24th. This Sea Grant Oil Spill Science Outreach Program event is free and open to the public. Attend in person in St. Petersburg, Florida, or watch online.

. https   gulfseagrant org oilspilloutreach presentations how does science guide oil spill response","en","3438303297",FALSE,NA,"everyone","1113871426057113600","1113871426057113600",2019-04-04 18:30:17,FALSE,"https://pbs.twimg.com/profile_images/1520072752388091905/iVnF2Mie_normal.jpg",FALSE,"NASEM_Gulf","2015-08-24T19:23:57.000Z","The Gulf Research Program of @theNASEM funds studies, projects, & other activities at the intersections of human, environmental, and offshore energy systems.","Washington, DC","https://t.co/y5qEHfhgBr","NASEM Gulf Research Program",NA,7,0,5,0,0,1260,649,2104,16,"Join researchers and responders as they discuss how science guides oil spill response on April 24th. This Sea Grant Oil Spill Science Outreach Program event is free and open to the public. Attend in person in St. Petersburg, Florida, or watch online.

https://t.co/zhLfQQY077"
"10","RT @NASEM_Gulf: Join researchers and responders as they discuss how science guides oil spill response on April 24th. This Sea Grant Oil Spi…","en","3329510170",FALSE,NA,"everyone","1113881203382411264","1113881203382411264",2019-04-04 19:09:08,FALSE,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,"4lastem","2015-06-16T13:26:33.000Z","","Kenner, LA",NA,"Jean May-Brett",NA,7,0,0,0,0,102,103,2321,8,"Join researchers and responders as they discuss how science guides oil spill response on April 24th. This Sea Grant Oil Spill Science Outreach Program event is free and open to the public. Attend in person in St. Petersburg, Florida, or watch online.

https://t.co/zhLfQQY077"
