"","text","lang","possibly_sensitive","id","created_at.x","conversation_id","author_id","reply_settings","in_reply_to_user_id","location","created_at.y","username","name","profile_image_url","protected","verified","description","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","text_with_display_links"
"1","@AnthonyClose @TB_Times Surely there was county coverage of the Mar 14 reclaimed leak that sent 30,000g into the intercoastal? Or on Feb 23 when 20,000g of raw sewage was released into Belleair Creek? Or the Feb 9 wastewater release into Gulf? Or the raw sewage into a Largo storm drain on Feb 11? No?. ","en",FALSE,"1002572481440419841",2018-06-01 15:28:01,"1002386850978451462","241599125","everyone","39611390","St. Petersburg, FL","2011-01-22T17:24:52.000Z","KevCKing","Kevin King","https://pbs.twimg.com/profile_images/1621296607600807936/8IImTgfC_normal.jpg",FALSE,FALSE,"Livin' in the Sunshine ☀️ Dad to Casey🧒🏽 Survived 20 yrs. in politics & government 🏛️ Now in development 🏗️",NA,0,1,1,0,0,NA,748,603,7469,23,"https://t.co/yDsPEuZLzu","@AnthonyClose @TB_Times Surely there was county coverage of the Mar 14 reclaimed leak that sent 30,000g into the intercoastal? Or on Feb 23 when 20,000g of raw sewage was released into Belleair Creek? Or the Feb 9 wastewater release into Gulf? Or the raw sewage into a Largo storm drain on Feb 11? No?"
"2","Love Pinellas County but the water there is not safe to swim in they dump loads of sewage in the Bay and ocean and complain when Red Tide comes around... ","en",FALSE,"1027327543400120320",2018-08-08 22:55:47,"1027327543400120320","283777341","everyone",NA,"Florida/Levy County Florida","2011-04-18T00:52:15.000Z","Stormboat","Daniel Pollard","https://pbs.twimg.com/profile_images/1597750975053406209/jTFLP5B-_normal.jpg",FALSE,FALSE,"Storm chaser/Sun chaser","1233860928753557504",0,0,0,0,0,NA,381,646,12869,11,NA,"Love Pinellas County but the water there is not safe to swim in they dump loads of sewage in the Bay and ocean and complain when Red Tide comes around.."
"3","Fish kills suggest red tide resurgence at some Pinellas Co. beaches  people have to stop with all the massive amounts of lawn care products before this is going to stop south tampa is a major problem plus st pete sewer spills. https   www fox13news com news local news fish kills suggest red tide resurgence at some pinellas co beaches","en",FALSE,"1050547789288091648",2018-10-12 00:44:45,"1050547789288091648","953645424598044672","everyone",NA,"Plant City, FL","2018-01-17T15:09:21.000Z","Rmullins8","Rmullins","https://pbs.twimg.com/profile_images/1391112220495552513/4-IqLzaF_normal.jpg",FALSE,FALSE,"hired turning wrenches",NA,0,0,0,0,0,NA,59,56,6065,1,NA,"Fish kills suggest red tide resurgence at some Pinellas Co. beaches https://t.co/GjK0DApp4h people have to stop with all the massive amounts of lawn care products before this is going to stop south tampa is a major problem plus st pete sewer spills"
"4","@WaterWarriorOne Pinellas county confirms it’s red tide in Boca Ciega Bay. They say they have had no reports of sewage spills. . https   twitter com NicoleSGrigg status 1059867554515206144","en",FALSE,"1060229868783308800",2018-11-07 17:57:53,"1060229868783308800","17068891","everyone","2836941396","Phoenix, AZ","2008-10-30T16:49:12.000Z","NicoleSGrigg","Nicole Grigg","https://pbs.twimg.com/profile_images/1499812621926629376/iMGug7d-_normal.jpg",FALSE,TRUE,"Emmy award 🏆 winning reporter for @abc15 📺 AZ native 🌵Mama x 🧒🏽🧒🏽👧🏽 ASU Cronkite grad ☀️ 👿 Previous stations 🎤 MT:OH:FL:AZ","1415781161469579268",0,0,0,1,0,NA,15958,2394,24287,265,NA,"@WaterWarriorOne Pinellas county confirms it’s red tide in Boca Ciega Bay. They say they have had no reports of sewage spills. https://t.co/hyMVOUHzL5"
"5","In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay  #tampa #stpete #clearwater #sewage. https   wusfnews wusf usf edu environment 2018 12 25 report 3 florida cities responsible for wastewater spills","en",FALSE,"1099821394425270272",2019-02-25 00:00:28,"1099821394425270272","1088196428961406976","everyone",NA,NA,"2019-01-23T22:07:01.000Z","awsproject","American Water Security Project","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",FALSE,FALSE,"Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",NA,1,0,2,0,0,NA,92,95,1368,1,"https://t.co/AR8sz1dyFZ","In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay https://t.co/DkEkBwTDuR #tampa #stpete #clearwater #sewage"
"6","RT @awsproject: In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St…","en",FALSE,"1099835071115288576",2019-02-25 00:54:49,"1099835071115288576","121962605","everyone",NA,"St. Petersburg, Florida","2010-03-11T04:43:24.000Z","BrandonShuler","Texan for the Resistance","https://pbs.twimg.com/profile_images/1279257856450211840/qdYT02PU_normal.jpg",FALSE,FALSE,"Single father of 3: Human #resister #impeachtrump #republicanforbiden (Tomorrow there will be more of us) #publiclands and #oceans advocate",NA,1,0,0,0,0,NA,662,783,10047,21,NA,"In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay https://t.co/DkEkBwTDuR #tampa #stpete #clearwater #sewage"
"7","Residents are invited to hear Pinellas County's action plan to prevent wastewater treatment facilities from overflowing into waterways. . https   patch com florida pinellasbeaches could 2019 hurricane season dump more sewage tampa bay","en",FALSE,"1131286067968139264",2019-05-22 19:49:51,"1131286067968139264","163514851","everyone",NA,"Pinellas Park, FL","2010-07-06T16:24:18.000Z","PinellasPatch","Pinellas Patch","https://pbs.twimg.com/profile_images/974301343379742720/SdlNZLWh_normal.jpg",FALSE,FALSE,"Local news, alerts, events and more. We're your source for all things Pinellas.",NA,0,0,0,0,0,NA,370,71,10664,22,"https://t.co/MFlN6JYAKa","Residents are invited to hear Pinellas County's action plan to prevent wastewater treatment facilities from overflowing into waterways. https://t.co/F24e7LxR4t"
"8","According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco (the worst offender in 2019) &amp; Manatee – have dumped an estimated 389,000 gallons of sewage,. ","en",FALSE,"1161001417546579968",2019-08-12 19:48:02,"1161001416003117056","1339550646","everyone","1339550646","Florida, USA","2013-04-09T16:05:04.000Z","lenwhitefl","Len White","https://pbs.twimg.com/profile_images/1401206949912449026/T0t9tRaX_normal.jpg",FALSE,FALSE,"Independent voter seeking truth from objective credible journalists. Against those threatening democracy & advocating minority rule in this country.",NA,0,1,0,0,0,NA,55,64,18620,2,NA,"According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco (the worst offender in 2019) &amp; Manatee – have dumped an estimated 389,000 gallons of sewage,"
"9","I had to sit down to read the entire article. OMG.
According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco &amp; Manatee – have dumped an estimated 389,000 gallons of sewage, . https   twitter com ClwtrBkAtty status 1161947429597523968","en",FALSE,"1161960425224884224",2019-08-15 11:18:48,"1161960425224884224","947904812393418752","everyone",NA,"Ile-de-France, France","2018-01-01T18:58:13.000Z","MsResJudicata","Stare Decisis","https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",FALSE,FALSE,"Que sçay-je? I hold it to be an inalienable right of anybody to go to hell in his own way. Family Office/Lawyer/Harry's Caregiver/ LEGAL TRENDS 3 yrs@CBS.",NA,0,3,2,0,0,NA,5163,2008,132211,70,NA,"I had to sit down to read the entire article. OMG.
According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco &amp; Manatee – have dumped an estimated 389,000 gallons of sewage, https://t.co/xwp4BI4ghn"
"10","of which 215,000 gallons were cleaned up, and 174,000 gallons were simply absorbed by the local environment.

For some perspective, last year these same four counties spilled a total of 59,560 gallons of sewage, and 39,596 gallons of that was lost.","en",FALSE,"1161960427686957057",2019-08-15 11:18:48,"1161960425224884224","947904812393418752","everyone","947904812393418752","Ile-de-France, France","2018-01-01T18:58:13.000Z","MsResJudicata","Stare Decisis","https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",FALSE,FALSE,"Que sçay-je? I hold it to be an inalienable right of anybody to go to hell in his own way. Family Office/Lawyer/Harry's Caregiver/ LEGAL TRENDS 3 yrs@CBS.",NA,0,1,1,0,0,NA,5163,2008,132215,70,NA,NA
"11","also only show reported ""sewage"" spills to the FDEP, and not things like spilled wastewater, which is also very common and also very bad (ask St. Pete).","en",FALSE,"1161960431205986305",2019-08-15 11:18:49,"1161960425224884224","947904812393418752","everyone","947904812393418752","Ile-de-France, France","2018-01-01T18:58:13.000Z","MsResJudicata","Stare Decisis","https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",FALSE,FALSE,"Que sçay-je? I hold it to be an inalienable right of anybody to go to hell in his own way. Family Office/Lawyer/Harry's Caregiver/ LEGAL TRENDS 3 yrs@CBS.",NA,0,0,0,0,0,NA,5163,2008,132215,70,NA,NA
"12","These numbers come from a variety of sewage spills, which can occur in a number of ways –  like malfunctioning lift stations, obstructed pipes, or aging infrastructure. It’s also important to note that these figures represent both public and private facilities, and","en",FALSE,"1161960429448568834",2019-08-15 11:18:49,"1161960425224884224","947904812393418752","everyone","947904812393418752","Ile-de-France, France","2018-01-01T18:58:13.000Z","MsResJudicata","Stare Decisis","https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",FALSE,FALSE,"Que sçay-je? I hold it to be an inalienable right of anybody to go to hell in his own way. Family Office/Lawyer/Harry's Caregiver/ LEGAL TRENDS 3 yrs@CBS.",NA,0,1,1,0,0,NA,5163,2008,132215,70,NA,NA
