"","text","conversation_id","created_at.x","author_id","lang","reply_settings","possibly_sensitive","id","in_reply_to_user_id","verified","created_at.y","location","name","profile_image_url","description","protected","username","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","It was not there in 1990 when I first arrived. Part of it was also landlords dumping raw sewage directly into the bay, and the same thing happened over on Bayshore Boulevard in Tampa.. ","949161767522902016",2018-01-05 06:12:54,"179165637","en","everyone",FALSE,"949161767522902016",NA,FALSE,"2010-08-16T17:28:06.000Z","Riverside, CA","James Carrow","https://pbs.twimg.com/profile_images/850817161840939008/xpBkEHmL_normal.jpg","Working on some low emissions power, propulsion, and transportation projects right now...",FALSE,"jamescarrow","https://t.co/oaRRYOQYfx",NA,0,0,0,0,0,NA,86,183,92232,0,"It was not there in 1990 when I first arrived. Part of it was also landlords dumping raw sewage directly into the bay, and the same thing happened over on Bayshore Boulevard in Tampa."
"2","@Kansei13Kansei We do that daily in the U.S. too. =\ I live in Tampa Bay, and we've been dealing with a huge release of raw sewage.    Nicaragua however has almost 90% of its energy coming from renewable resources already. We definitely don't, but should.. http   wusfnews wusf usf edu post st pete upgrades should keep sewage out tampa bay","950679284464668673",2018-01-10 20:18:16,"485490353","en","everyone",FALSE,"951186448182587392","713377689743335424",FALSE,"2012-02-07T07:59:53.000Z","Resisting in Tampa Bay!","Six","https://pbs.twimg.com/profile_images/1083150828096110592/oRJOOdYa_normal.jpg","Resisting🌟More American Than 🍎 🥧Insatiably Curious📘1st Nation🪶GA🍑SC🌴France🍷KY🏇LA⚜️OH🛩️FL🏖️ Πολλά Idiomas Spoken Ici🦋♤ ❤️ = I see you",FALSE,"SixieGames","https://t.co/5X2rm6kDXB","1543622518522658818",0,1,1,0,0,NA,3599,3435,130903,9,"@Kansei13Kansei We do that daily in the U.S. too. =\ I live in Tampa Bay, and we've been dealing with a huge release of raw sewage.  https://t.co/pTZGfJuJbV  Nicaragua however has almost 90% of its energy coming from renewable resources already. We definitely don't, but should."
"3","So what exactly defines one as a shithole country....""million gallons of partially treated sewage had been dumped into the waters of Tampa Bay"" - St. Petersburg’s latest sewage mystery is quite colorful . https   www tampabay com news environment St Petersburg s latest sewage mystery is quite colorful_166130332","973941527549566976",2018-03-14 15:18:49,"3438519137","en","everyone",FALSE,"973941527549566976",NA,FALSE,"2015-08-24T22:08:33.000Z","crazytown","the return of Shooter","https://pbs.twimg.com/profile_images/1352420717237776390/wVuGmXiH_normal.jpg","WE THE THUNDER ⚡️ a TB Lightning Podcast Host & Producer 🧮 Occasional animator and content creator 🪧
instagram: @shooteyshoots",FALSE,"shooteyshoots","https://t.co/sxy3Ykozk3","1583135896853176321",0,0,0,0,0,NA,1021,984,25860,33,"So what exactly defines one as a shithole country....""million gallons of partially treated sewage had been dumped into the waters of Tampa Bay"" - St. Petersburg’s latest sewage mystery is quite colorful https://t.co/MwsbpIflMZ"
"4","Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa B...  via @Change. https   www change org p mayor rick kriseman stop st pete s illegal dumping of raw and partially treated sewage into tampa bay s water","979218522344755200",2018-03-29 04:47:43,"302814665","en","everyone",FALSE,"979218522344755200",NA,FALSE,"2011-05-21T20:10:45.000Z",NA,"Carla","https://pbs.twimg.com/profile_images/806315956049821696/TQwTICR6_normal.jpg","I am a spiritual being having a human experience.",FALSE,"revcarlag",NA,"1509208754549624835",0,0,0,0,0,NA,165,288,13265,0,"Mayor Rick Kriseman: Stop St. Pete's illegal dumping of raw and partially treated sewage into Tampa B... https://t.co/rlXjI7qQEp via @Change"
"5","@SenBillNelson Please make sure sewage dumping ends in Tampa Bay. ","979461947098783744",2018-03-30 02:09:33,"591447395","en","everyone",FALSE,"979541105640443904","20597460",FALSE,"2012-05-27T02:46:03.000Z",NA,"Charlotte","https://pbs.twimg.com/profile_images/1465408560737796102/XWyBkBfD_normal.jpg","🎨📚 💚 National Parks🍀 I retweet different points of view.",FALSE,"artist57101",NA,"1354467237902639112",0,0,0,0,0,NA,122,253,22133,10,"@SenBillNelson Please make sure sewage dumping ends in Tampa Bay"
"6","@itsmeMissEm @davidhogg111 @FLGovScott @FLStateParks Lol. The lagoon 🙄 The lagoon near me is beautiful. But ya, blame Republicans 4 sum dead fish... However, we CAN thank our democrat mayor 4 dumping raw sewage into Tampa Bay recently. Certainly wasnt Scotts fault. Altho Im sure youll find some roundabout way of doing just that. ","988058734915145728",2018-04-23 13:26:36,"937382621226717184","en","everyone",FALSE,"988408801027067904","3288561705",FALSE,"2017-12-03T18:06:47.000Z","United States","Jake Cutter - blocked by John Cusak","https://pbs.twimg.com/profile_images/1608497896592138245/EDVBnBd5_normal.jpg","When it suits their purpose liberals wrap themselves in the Constitution, but in their books & classrooms they call the Founding Fathers “racist-classist pigs”",FALSE,"JakeCutter99","https://t.co/zJZ2yg6Hym","1443025568958668804",0,0,0,0,0,NA,220,1380,9041,0,"@itsmeMissEm @davidhogg111 @FLGovScott @FLStateParks Lol. The lagoon 🙄 The lagoon near me is beautiful. But ya, blame Republicans 4 sum dead fish... However, we CAN thank our democrat mayor 4 dumping raw sewage into Tampa Bay recently. Certainly wasnt Scotts fault. Altho Im sure youll find some roundabout way of doing just that"
"7","Tampa Bay has more sewage than you think
If the mainstream media has you believing only St. Petersburg has sewage spills, you've got to read this.

CATHY SALUSTRI  MAY 30,... . https   www cltampa com news views environment article 21006580 tampa bay has more sewage than you think","1001795969510494208",2018-05-30 12:02:26,"534263140","en","everyone",FALSE,"1001795969510494208",NA,FALSE,"2012-03-23T12:49:26.000Z",NA,"Florida Issues","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg","",FALSE,"FloridaIssues",NA,NA,0,0,1,0,0,NA,1024,11,135873,38,"Tampa Bay has more sewage than you think
If the mainstream media has you believing only St. Petersburg has sewage spills, you've got to read this.

CATHY SALUSTRI  MAY 30,... https://t.co/ewvX17XTOK"
"8","Some other Tampa Bay cities have let more sewage flow than St. Petersburg.  . https   www cltampa com news views environment article 21006580 st petersburg isnt the only city with sewage spills","1001876050979229697",2018-05-30 17:20:39,"14193993","en","everyone",FALSE,"1001876050979229697",NA,TRUE,"2008-03-21T22:23:23.000Z","Tampa Bay, FL","Creative Loafing: Tampa Bay","https://pbs.twimg.com/profile_images/1542872284259651587/a85ifeZZ_normal.jpg","Tampa Bay's alternative newsweekly. Local news, reviews, music, movies, food, drinks, sex, local events & more.",FALSE,"cl_tampabay","https://t.co/yfgOGOMEdW",NA,0,0,0,0,0,NA,69719,2818,51737,779,"Some other Tampa Bay cities have let more sewage flow than St. Petersburg.  https://t.co/l9Aiv8ERI8"
"9","Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. . http   www tampabay com blogs baybuzz 2018 06 04 tampa sewage spill shuts down water activities in davis island channel","1003663665529262080",2018-06-04 15:43:59,"119945205","en","everyone",FALSE,"1003663665529262080",NA,TRUE,"2010-03-05T01:07:56.000Z","Cleveland, OH","Mark Puente","https://pbs.twimg.com/profile_images/1107681713327505408/c3Bt1MN7_normal.png","Investigative reporter at @marshallproj Once: @TB_Times, @LATimes, @baltimoresun, @theplaindealer, trucker & Teamster. Email: mpuente@themarshallproject.org",FALSE,"MarkPuente","https://t.co/oEoq0MEPcp","1536651712118784000",3,0,0,0,0,NA,5406,3277,22067,250,"Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy"
"10","RT @MarkPuente: Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy","1003665409453813762",2018-06-04 15:50:55,"33069210","en","everyone",FALSE,"1003665409453813762",NA,FALSE,"2009-04-19T00:39:54.000Z","fascist Floriduh","@MandaGator (she/her)","https://pbs.twimg.com/profile_images/1610520480380846082/40uZveCe_normal.jpg","like: kitties, soup, Rays ⚾ & Lightning 🏒 

#MaskedForever #IronKitty",FALSE,"MandaGator",NA,"1055939044771799041",3,0,0,0,0,NA,1522,1605,212337,62,"Where will sewage spill next in the Tampa Bay area? Just follow @CharlieFrago. https://t.co/SiG84HoAhy"
