"username","description","verified"
"LeChatNoire4","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s",FALSE
"SethPlatt","Creator Collector Cultivator Art Web3 ENS AI Strategy Consultant Actor Photography Video Design NYU Tisch SAGAFTRA EnviroMBA Disrupter Fr. Tech Lobbyist",FALSE
"eco_voice","A non-partisan, independent, volunteer run org, which endeavors to communicate multiple positions on important environmental issues effecting south Florida.",FALSE
"Corn4Harvick","*Flo-Grown* 🇺🇸 🇺🇸 Jesus sent me back to straighten you brain-dead motherfuckers out... 🙄🙄🙄    """"Nuremberg Code""""  """"Clown World""""    WTF",FALSE
"memorabiliaddy","Healthcare Professional * Dad to Two * MSU Alumnus * Autograph Collector * KCCO * Snapchat and Instagram: memorabiliaddy *GOGREEN * V4MSU",FALSE
"mcwilkins63","",FALSE
"SMHCS","Since 1925, we’ve delivered high-quality healthcare. SMH has grown from 32-beds to a 2 hospital, full-service health system - by & for the community❤️",FALSE
"BenjaminLitkePA","Licensed Florida & Michigan Real Estate Professional, providing outstanding service on Siesta Key in Sarasota and Oakland County, Michigan.",FALSE
"savethemanatee","Official Twitter Account for the Save the Manatee Club. Our mission is to protect manatees and their aquatic habitats for future generations.",FALSE
"suzieq5695","🐾🐶🚓🚔👠🇨🇦",FALSE
"Nelbell305","One of Jesus Christ's Lions...enlightening my pride. #Patriot 🇺🇲 #BoriCuba 🇵🇷🇨🇺 #HEATculture   #305Native #ExFelon4TheBlue #NPA #Unpatented #GearHead",FALSE
"kingfrook","#ccp #DrPoliceStateUSA 

""""Messianic and a trifle too satanic""""- Monkey Man
 If God is with the GOP then I'm with the other team.",FALSE
"MRMasferrer","",TRUE
"amichamber","Emerald waters, stunning sunsets, and a relaxed atmosphere makes us a must for your next destination!
Share all your local photos and videos with #MyAnnaMaria",FALSE
"jacqui_eckert","Finding my way in this world with kindness,lots of laughter,love,and music,with an open heart and mind!",FALSE
"BrandyCoffey","Brandy believes the basic tenets of service should be knowledge, honesty, loyalty, and trust. 
(941) 404-4737",FALSE
"Hydroviv_h2o","Water Science Company Run By A Ph.D. Chemist & Congressional Expert Witness | Commentary on #waterquality #environment #policy  #waterfiltration #cleanwater",FALSE
"danielle_mae_","☕️ caffeinated 📖 bibliophile 🗺️ explorer 👩🏻‍🍳 foodie 📜 historian 🇺🇸",FALSE
"tonyfor74","United States Air Force JAG, father, attorney, Venetian and candidate for the Florida House of Representatives, District 74.",FALSE
"kevinmgriffith","Husband. Dad. RPCV. Sarasotan.",FALSE
"cantescape2020","#TheResistance #BLM, #codifyRoe #ERA Now! #lockTrumpup #expand thecourt #ROEVEMBER",FALSE
"carliewaibel","Proud Minnesotan. Waibel, rhymes with bible.",TRUE
"bjksgk","",FALSE
"srqstockpicker","Biotech enthusiast and master googler lol  Do your own Due Diligence!  Personal posts as well. #hbarbarian",FALSE
"caribqueen_11","Mom of 2 teens and 2 rescue kitties. Philly attorney. My heart is in the USVI.  Star Wars geek. Proud grad of @UDelaware and @TempleUniv",FALSE
"Bobthepilot","I pontificate my subjective convictions with indelicacy.

I block those that advocate violence, hate, racism, xenophobia, misogyny and that convey ad hominem.",TRUE
"TonyDertouzos","Proud son of immigrants │If it’s important to you, it’s important to me │ Not sure how, but followed by @sharonvanetten, @BigAudioDyn, and @sleuthmedia 🙌🏻",FALSE
"gporter812","Proud kid raised in a barn. My playgrounds were on the backside of 🐎racetracks.

It is easier to fool the people, than to convince them they have been fooled.",FALSE
"LBKChamber","Longboat Key is located on the white sandy beaches of the Gulf of Mexico in sunny Florida.",FALSE
"redskeeter","You have the right to free speech!! Provided of course you’re actually dumb enough to try it. Know your rights!!",FALSE
"SuzyP39","I am a model and Pageant girl who loves God and her family and her Dog Reece.",FALSE
"jaimevelez","Chief Empathy Officer & Organizational Change Management Expert. Army Vet.
Helping orgs succesfuly navigate the people side of #DigitalTransformation. 👨🏻‍💻",FALSE
"UAMGLala1014","Destiny is all...Living my best life in Florida with my best friend and soul mate #bossmanfrank and doggy mom to rescue pup Simba 🐾❤️",FALSE
"VisitBradenton","The official Twitter account for Bradenton Gulf Islands, including Anna Maria Island, Longboat Key, Bradenton, and Lakewood Ranch.",FALSE
"madgreek65","Author of Accelerating Cloud Adoption & Architecting the Cloud.  Die hard and suffering NYG fan. Metal Head. Always looking at what's next.",FALSE
"yepallgood4now","Telling the truth as I see it without any subjectivity.",FALSE
"DeniseKJohns1","“If I always do what I have always done, I’ll always get what I’ve always got!”",FALSE
"LoriMoffet","Florida Native , I bleed Orange and Blue , LOVE FOOTBALL , HS / GO Palmetto TIGERS 🐅 , College / GO GATORS🐊NFL/ GO BUCS ! LOVE TIM TEBOW , Reality junkie!",FALSE
"TampaEFL","My “bio” changes with each day; life is entertaining like that 🎥 *Entertainment Value* Tweets are protected",FALSE
"Wolfetwin1","Married to Kenny.  Retired Data Processor from Hillsborough County Schools. Twin sister #1",FALSE
"KeikosLegacy","The life and legacy of Keiko the killer whale.",FALSE
"SarasotaMermaid","🌏 things can change",FALSE
"what_jill","baby found in corner!   NO HILLBILLIEES WELCOME AGGRESSIVE OR OTHERWISE!!",FALSE
"rockstarclean","Owner of Rockstar Cleaning and Organization. Residential Cleaning. Hillsborough Pinellas Pasco FL. 🎶⭐🤘
Check out my Facebook Business Page & give it a LIKE!!",FALSE
"BalzHari","",FALSE
"srqgator1984","GOP ran me off.

#GoGators

#GoBrowns",FALSE
"jaohtweet","",FALSE
"TuckDen","",FALSE
"JosephSchager","Fatherhood. Environment. Sustainable Finance. Fitness. Travel. Independent. 🌎
Semper Fidelis! *no financial advice*",FALSE
"itzamedaniel","",FALSE
"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater",FALSE
"eelagr","Resilient spirit, born on Earth, every human, animal and plant are my family and the entire planet is my backyard.",FALSE
"teresal87","Christian. Liberal. 🌊🌊 #Resist #Vote Blue #AdoptDontShop 🦮🐈🐕‍🦺🐈‍⬛ #BLM",FALSE
"305Pirate","Extremely entertaining (in my own mind) Floridian, Travel Junkie, humble narcissist, introverted extrovert, BMW Luv & happiest married pirate queen :)",FALSE
"LoriCastellano","Be the change that you wish to see in the world, Mahatma Gandhi.  #Feminist #Environmentalist #Resistance #Bluewave2020 🌊",FALSE
"jumpatarpon","Christ follower, family man, tarpon fanatic.",FALSE
"CDodsonPCBeach","Just an unverified nobody living in Twitter World. I'm dreaming of seeing the BattleHawks play in St. Louis for Opening Day 2023. $cashtag is BattleKAWL.",FALSE
"813JAFERD","#BAFERDLife in the ED. Med education, Health policy, sports, Florida man. Views my own. “Healthcare” should be two words & run by people who see patients.",FALSE
"newstart43","https://t.co/dStyCqdeIY",FALSE
"sarasotaSUPco","ski, surf, paddle  paddlesurf , paddle board, SUP, stand up paddleboarding",FALSE
"corvetteflex","'Fire rainbow' through a 'window' in the clouds. Pleasently in •   https://t.co/wlnjGiFNlF",FALSE
"angiedillman22","🌺Majored in biology, workin, have a degree in Design, DM me if interested in any design or art I put out, I can make anything custom to your needs📿🕯🦋🌷",FALSE
"LilianFNorris","Science Art Nature ❤️ 🔬🧪🎨🌿🐛
Artist, enviroeducator, writing & illustrating upcoming kids' books to inspire & empower in #STEM #STEAM to #makeadifference 🌎",FALSE
